Name,City,Address,Latin,Working Hours,Activities,Numbers,WebPage,Instagram,Facebook,Latitude,Longitude
Винарија Илиев,Кавадарци,"Кавадарци, с.Сопот","Kavadarci, s.Sopot", ,['винарски визби'],071 219233,http://,https://,https://www.facebook.com/kargobitola,41.4907437,22.0240662
Винарија Кимов,Неготино,"Неготино, Индустриска б.б.","Negotino, Industriska b.b.", ,['винарски визби'],075 379316,http://,https://,https://www.facebook.com/KimovWinery,Not available,Not available
Семејна Винарија Захарчев,Кавадарци,"Кавадарци, Косовска 16","Kavadarci, Kosovska 16", ,"['винарски визби', 'винотеки (винарници)']",070 743742,http://,https://www.instagram.com/zaharchevfamilywinery/,https://www.facebook.com/ZaharchevFamilyWinery,41.436157550000004,22.004775441666666
Дивино Винарија,Скопје,"Скопје, бул.Македонска Косовска бригада 30-б","Skopje, bul.Makedonska Kosovska brigada 30-b", ,"['вина - производство', 'пијалаци - алкохолни - производство', 'винарски визби']",071 304335,http://,https://www.instagram.com/divino.winery/?fbclid=IwAR3ztTjuyy1fzFLpy6Jm17AOpU-liG5QW-MvZmuhZ9Su2YOzLX,https://www.facebook.com/indigotattoostudiosk/?referrer=services_landing_page&_rdr,Not available,Not available
Винарија Томов,Неготино,"Неготино, с.Тимјаник","Negotino, s.Timjanik", ,['винарски визби'],076 808994,http://,https://,https://,41.4683458,22.0821935
Винарска Визба Тиквеш-Продавница Центар,Скопје,"Скопје, Томе Пуре 2","Skopje, Tome Pure 2", ,"['винарски визби', 'винотеки (винарници)']",02 3114383,http://www.tikves.com.mk/,https://www.instagram.com/tikveswinery/,https://,42.0285294,21.4421211
Иванов Винарија,Кавадарци,"Кавадарци, Игман 11","Kavadarci, Igman 11", ,"['вина - трговија', 'винарски визби']",075 350084,http://,https://,https://www.facebook.com/IvanovWinery/,41.4365088,22.0053332
Арабеска винарија,Кавадарци,"Кавадарци, с.Сопот","Kavadarci, s.Sopot", ,"['вина - производство', 'вина - трговија', 'винарски визби']",075 239243,http://,https://,https://www.facebook.com/profile.php?id=100076076766951,41.4907437,22.0240662
Винар,Скопје,"Скопје, Сремски Фронт 31","Skopje, Sremski Front 31",Работно време: Пон - Пет од 08:00 до 16:00,"['вина - производство', 'винотеки (винарници)']",02 2043332,http://www.vinar.com.mk/,https://,https://,42.0048476,21.3817595
Манастирска винарија,Охрид,"Охрид, с.Опеница","Ohrid, s.Openica", ,['винотеки (винарници)'],078 474656,http://monasterywinery.com/,https://www.instagram.com/monasterywinery/,https://www.facebook.com/monasterywinery/,41.1827744,20.8690771
Бади Винарија,Кавадарци,"Кавадарци, Пере Тошев 3","Kavadarci, Pere Toshev 3", ,"['винотеки (винарници)', 'вина - производство']",077 832746,http://,https://www.instagram.com/badiwinery/?hl=bg,https://www.facebook.com/badiwinery/,Not available,Not available
Дизајн Центар Инженеринг-Винарија Грков,Кавадарци,"Кавадарци, Народна Младина 3","Kavadarci, Narodna Mladina 3",Работно време: Пон - Пет од 07:30 до 15:30,"['градежни фирми и претпријатија', 'инженеринг', 'проектирање (проектантски бироа)', 'ентериер - уредување и реновирање']",043 400600,http://www.dci.com.mk/,https://,https://,41.4368329,22.0080368
Винарија-Дестилерија Кабранов,Неготино,"Неготино, Вељко Влаховиќ 23","Negotino, Veljko Vlahovikj 23",Работно време: Пон - Пет од 08:00 до 16:00,"['вина - производство', 'пијалаци - алкохолни - производство']",043 360060,http://www.kabranov.mk/,https://,https://,41.4806609,22.0818316
Винарија Брзанов,Скопје,"Скопје, Ѓорче Петров 4","Skopje, Gjorche Petrov 4", ,['вина - производство'],075 406116,http://www.brzanov.mk/,https://,https://www.facebook.com/BrzanovWinery,42.0033397,21.373304855323727
Винарис,Кавадарци,"Кавадарци, Лазо Мицев 38","Kavadarci, Lazo Micev 38",Работно време: Пон - Пет од 09:00 до 19:00 • Саб од 09:00 до 15:00,"['обувки - продавници', 'чанти']",070 917818,http://,https://,https://,41.4359586,22.0126727
Винарска визба Лозар,Битола,"Битола, 8-ми Септември (Владимир Назор)с.Горно Оризари 2-Б","Bitola, 8-mi Septemvri (Vladimir Nazor)s.Gorno Orizari 2-B", ,['ресторани'],076 377330,http://,https://,https://,Not available,Not available
Винова винари,Неготино,"Неготино, Никола Карев 87","Negotino, Nikola Karev 87", ,['транспорт - меѓународен'],075 787792,http://,https://,https://www.facebook.com/Vinova-Vinari-dooel-Negotino-270976272931436/,Not available,Not available
Винар Консалтинг,Кавадарци,"Кавадарци, Љубашка 5","Kavadarci, Ljubashka 5", ,['земјоделски репроматеријали'],070 338464,http://,https://,https://,41.4377642,22.0084567
Лозница - Национална кафана и винарија,Скопје,"Скопје, М.Т.Гологанов 42","Skopje, M.T.Gologanov 42", ,['ресторани'],070 617749,http://,https://www.instagram.com/loznica_nacionalnakafana/,https://,Not available,Not available
Паруни,Тетово,"Тетово, с.Копанце","Tetovo, s.Kopance", ,['винарски визби'],078 251777,http://,https://,https://,Not available,Not available
Сковин - дирекција,Скопје,"Скопје, 15-ти Корпус 3","Skopje, 15-ti Korpus 3",Работно време: Пон - Пет од 08:00 до 16:00,"['вина - трговија', 'винарски визби', 'вина - производство']",02 3145725,http://www.skovin.com.mk/,https://www.instagram.com/skovin_winery/?hl=en,https://www.facebook.com/SkovinVinarija,41.9997655,21.4725832
Риго-импекс,Скопје,"Скопје, Наум Наумовски Борче 40","Skopje, Naum Naumovski Borche 40",Работно време: Пон - Пет од 08:00 до 16:00,"['вина - производство', 'винарски визби', 'вина - трговија', '200 најуспешни']",02 3290244,http://,https://,https://,41.998755,21.424403438976377
Струмичко поле,Струмица,"Струмица, с.Василево","Strumica, s.Vasilevo", ,"['винарски визби', 'вина - производство', 'овошје - преработка', 'производство и трговија на големо']",034 354776,http://,https://,https://,Not available,Not available
Имако Вино,Штип,"Штип, 6-ти Километар б.б.","Shtip, 6-ti Kilometar b.b.",Работно време: Пон - Пет од 07:00 до 15:00,"['винарски визби', 'вина - производство', 'вина - трговија', 'винотеки (винарници)']",032 308703,http://www.imakovino.com.mk/,https://,https://www.facebook.com/ImakoVino,Not available,Not available
Гемакс,Скопје,"Скопје, Лондонска б.б.мезанин лок.25","Skopje, Londonska b.b.mezanin lok.25", ,"['угостителска опрема', 'опрема за месарници', 'кафемати', 'пекарска опрема', 'винарски визби', 'детергенти - специјалилизирани за индустрија', 'хигиена - средства', 'хемиско чистење - сервиси']",02 3065904,http://www.gemaks.com.mk/,https://,https://,Not available,Not available
Бовин,Неготино,"Неготино, Индустриска б.б.","Negotino, Industriska b.b.",Работно време: Пон - Пет од 08:00 до 16:00,"['вина - производство', 'винарски визби']",043 365322,http://www.bovin.com.mk/,https://,https://www.facebook.com/bovinwinerypage/,Not available,Not available
Венец,Неготино,"Неготино, с.Долни Дисан","Negotino, s.Dolni Disan",Работно време: Пон - Пет од 07:00 до 15:00,"['вина - производство', 'млеко и млечни производи', 'сточна храна - фабрики и млинови', 'брашно-производство и трговија', 'винарски визби']",043 369200,http://www.venec.mk/,https://www.instagram.com/venecwinery/?igshid=1usrf919p9v8,https://www.facebook.com/venecwinery/,41.4291019,22.0951754
Дудин,Неготино,"Неготино, Ацо Аџи Илов б.б.","Negotino, Aco Adzhi Ilov b.b.",Работно време: Пон - Пет од 07:00 до 15:00,"['вина - производство', 'винарски визби']",043 368506,http://www.dudinwinery.com.mk/,https://,https://,41.4832929,22.0879051
Аневски винерија,Штип,"Штип, Железничка 39","Shtip, Zheleznichka 39",Работно време: Пон - Пет од 07:00 до 15:00,"['винарски визби', 'вина - производство', 'вина - трговија']",032 392925,http://www.acpwinery.com/,https://,https://,41.7532311,22.1731059
Пеца Комерц,Кавадарци,"Кавадарци, Западен булевар 13","Kavadarci, Zapaden bulevar 13",Работно време: Пон - Пет од 08:00 до 16:00,"['транспорт - меѓународен', 'земјоделски производи - трговија', 'вина - производство', 'винарски визби']",043 410287,http://www.winerypeca.com/,https://,https://,Not available,Not available
Пивка,Неготино,"Неготино, Индустриска б.б.","Negotino, Industriska b.b.",Работно време: Пон - Пет од 07:00 до 15:00,"['вина - трговија', 'винарски визби']",043 371416,http://www.winerypivka.com.mk/,https://,https://,Not available,Not available
Гоце Делчев-Тиквеш,Кавадарци,"Кавадарци, с.Возарци","Kavadarci, s.Vozarci",Работно време: Пон - Саб од 06:30 до 14:30,['винарски визби'],043 415916,http://www.gdtikveswinery.com/,https://www.instagram.com/gdtikveswinery/,https://www.facebook.com/GDTikvesWines,41.4296452,21.9235809
Ерос трејд,Кавадарци,"Кавадарци, с.Марена","Kavadarci, s.Marena", ,"['вина - производство', 'винарски визби']",071 375795,http://,https://www.instagram.com/eroswinery/,https://www.facebook.com/eroswinery/,41.4687873,22.0272806
Попова Кула,Демир Капија,"Демир Капија, Булевар на виното 1","Demir Kapija, Bulevar na vinoto 1", ,"['винарски визби', 'вина - производство', 'ресторани', 'хотели', 'вина - трговија', 'ресторани за свадби']",043 367400,http://www.popovakula.com.mk/,https://,https://www.facebook.com/301452074622/,Not available,Not available
ММ Инвестмент - Лозар,Велес,"Велес, Академик Пенчо Давчев (Скопски Пат) 130","Veles, Akademik Pencho Davchev (Skopski Pat) 130",Работно време: Пон - Пет од 07:00 до 15:00,['винарски визби'],043 212620,http://www.lozar.mk/,https://,https://,41.7408489,21.7739318
Кокино вино,Куманово,"Куманово, Козјачка, с.Доброшане 15","Kumanovo, Kozjachka, s.Dobroshane 15",Работно време: Пон - Пет од 08:00 до 14:00,"['вина - производство', 'винарски визби', 'хотели']",070 236562,http://,https://,https://www.facebook.com/Kokino-WineryHotel-254192048554333/?ref=page_internal,Not available,Not available
Картал,Скопје,"Скопје, ул.1519 7","Skopje, ul.1519 7",Работно време: Пон - Пет од 09:00 до 17:00,"['вина - производство', 'вина - трговија', 'винотеки (винарници)', 'винарски визби']",070 242419,http://www.kartal.com.mk/,https://www.instagram.com/kartalwinery/,https://www.facebook.com/kartalwinery,Not available,Not available
Таком Груп,Скопје,"Скопје, бул.Јане Сандански 7-1-1/11","Skopje, bul.Jane Sandanski 7-1-1/11", ,"['инокс метали - трговија', 'индустриска опрема и машинерија - производство', 'индустриска опрема и машинерија - инсталација', 'млекарство - машини и опрема', 'фармацевтска опрема и техника', 'винарски визби']",071 400890,http://www.tminox.com/,https://,https://,Not available,Not available
Попова кула,Скопје,"Скопје, Даме Груев 5-7/1","Skopje, Dame Gruev 5-7/1",Работно време: Пон - Пет од 08:00 до 16:00,"['винарски визби', 'вина - трговија', 'вина - производство']",02 3216719,http://www.popovakula.com.mk/,https://,https://www.facebook.com/pages/Popova-Kula-Winery/301452074622,42.0202774,21.3553188
Визба Валандово,Валандово,"Валандово, Никола Карев 6","Valandovo, Nikola Karev 6",Работно време: Пон - Пет од 08:00 до 16:00,"['винарски визби', '200 најуспешни', 'извозници']",034 383880,http://www.vizbavalandovo.com.mk/,https://www.instagram.com/explore/locations/1016269714/macedonia/valandovo/vizba-valandovo/,https://www.facebook.com/wineryvizbavalandovo/,41.3168886,22.5626918
Далвина,Скопје,"Скопје, Франклин Рузвелт 22","Skopje, Franklin Ruzvelt 22",Работно време: Пон - Пет од 08:00 до 16:00,"['винотеки (винарници)', 'вина - производство', 'вина - трговија', 'винарски визби']",02 3245345,http://www.dalvina.com.mk/,https://,https://www.facebook.com/myheartwisdom/,42.0034374,21.4149992
Пирган,Прилеп,"Прилеп, Орде Чопела 173","Prilep, Orde Chopela 173",Работно време: Пон - Пет од 08:00 до 16:00 • Саб од 08:00 до 15:00,"['винарски визби', 'пијалаци - алкохолни - производство', 'вина - производство']",070 208552,http://,https://,https://www.facebook.com/pirgan.winery/,Not available,Not available
Имако Вино,Битола,"Битола, Железничка б.б.","Bitola, Zheleznichka b.b.", ,['винарски визби'],072 271873,http://www.imakovino.com.mk/,https://,https://www.facebook.com/ImakoVino,Not available,Not available
Имако Вино,Скопје,"Скопје, Перо Наков б.б.","Skopje, Pero Nakov b.b.",Работно време: Пон - Пет од 07:30 до 15:30,"['винарски визби', 'вина - производство', 'вина - трговија', 'винотеки (винарници)']",02 2549051,http://www.imakovino.com.mk/,https://,https://www.facebook.com/ImakoVino,Not available,Not available
Езимит,Штип,"Штип, Брегалничка 64","Shtip, Bregalnichka 64",Работно време: Пон - Пет од 07:30 до 15:30,"['вина - производство', 'вина - трговија', 'винарски визби']",032 387809,http://www.ezimit.mk/,https://www.instagram.com/ezimit/,https://www.facebook.com/pages/EZIMIT-VINO/201209806539,41.7497149,22.1879596
Далвина,Струмица,"Струмица, с.Хамзали","Strumica, s.Hamzali",Работно време: Пон - Саб од 08:00 до 16:00,"['винотеки (винарници)', 'винарски визби']",034 375000,http://,https://,https://,Not available,Not available
Риго импекс,Гевгелија,"Гевгелија, Гоце Делчев, с.Мрзенци б.б.","Gevgelija, Goce Delchev, s.Mrzenci b.b.",Работно време: Пон - Нед од 00:00 до 00:00,"['винарски визби', 'вина - производство']",034 214094,http://,https://,https://,Not available,Not available
Езимит,Штип,"Штип, Маршал Тито, с.Лозово 5","Shtip, Marshal Tito, s.Lozovo 5",Работно време: Пон - Пет од 07:30 до 15:30,"['винарски визби', 'вина - трговија']",078 222424,http://www.ezimit.mk/,https://www.instagram.com/ezimit/,https://,Not available,Not available
Шато сопот,Велес,"Велес, с.Сопот","Veles, s.Sopot",Работно време: Пон - Нед од 09:00 до 22:00,"['вина - производство', 'винарски визби', 'ресторани']",078 663300,http://www.chateausopot.mk/,https://www.instagram.com/chateausopot/?fbclid=IwAR3e06q3Z_E2jn1SRDs-XRaK3nMTyRKvbGb30raS8TJLhhKbkJ3,https://,41.7841237,21.7185573
ВВМ ГД Тиквеш,Кавадарци,"Кавадарци, Шишка 2","Kavadarci, Shishka 2", ,['винарски визби'],043 412852,http://www.gdtikveswinery.com/,https://,https://,41.4388596,22.0190144
Агрониколов,Велес,"Велес, 4-ти Јули 1","Veles, 4-ti Juli 1", ,"['винарски визби', 'винотеки (винарници)', 'вина - производство']",070 377359,http://,https://,https://,Not available,Not available
Изворно,Велес,"Велес, Никола Оровчанец 1","Veles, Nikola Orovchanec 1", ,"['винотеки (винарници)', 'винарски визби']",077 901169,http://www.izvorno.com.mk/,https://,https://,Not available,Not available
Кувин,Скопје,"Скопје, Македонска Преродба 70","Skopje, Makedonska Prerodba 70",Работно време: Пон - Нед од 08:00 до 00:00,"['винотеки (винарници)', 'винарски визби']",075 233340,http://www.winerykuvin.com/mk,https://,https://www.facebook.com/dresuratasevski/,42.0096975,21.3574796
Бујук,Кавадарци,"Кавадарци, с.Дабниште","Kavadarci, s.Dabnishte", ,"['винотеки (винарници)', 'винарски визби']",075 840937,http://,https://,https://,41.3784558,22.0135161
Ангелови,Кавадарци,"Кавадарци, Македонија 6.6.","Kavadarci, Makedonija 6.6.", ,"['винотеки (винарници)', 'винарски визби']",043 550887,http://,https://,https://,41.4411126,22.0105934
Дестилерија Китвин,Кавадарци,"Кавадарци, Вељко Влаховиќ 2-2/6","Kavadarci, Veljko Vlahovikj 2-2/6", ,"['винарски визби', 'ракија - производство']",070 218024,http://www.kitvin.mk/,https://www.instagram.com/kitvindistillery/,https://www.facebook.com/kitvindistillery,41.4425204,22.0088447
Зик Градиште,Куманово,"Куманово, с.Градиште","Kumanovo, s.Gradishte", ,"['винарски визби', 'житни култури - одгледувачи', 'житни култури - трговија']",071 209603,http://www.zikwine.com/,https://www.instagram.com/zik_wine_369/,https://,42.0239981,21.8875152
Лазар,Велес,"Велес, Автопат Велес-Гевгелија","Veles, Avtopat Veles-Gevgelija", ,"['винотеки (винарници)', 'винарски визби', 'ресторани', 'апартмани и приватни соби - изнајмување']",071 281566,http://www.lazarwinery.mk/,https://www.instagram.com/lazarwinery/,https://www.facebook.com/lazarwinery/,Not available,Not available
Далвина,Струмица,"Струмица, с.Хамзали Босилово 9","Strumica, s.Hamzali Bosilovo 9", ,"['винарски визби', 'вина - производство']",034 375578,http://,https://www.instagram.com/dalvina_winery/,https://www.facebook.com/dreamwines/,Not available,Not available
Пешков,Кавадарци,"Кавадарци, с.Ресава","Kavadarci, s.Resava", ,['винарски визби'],070 204799,http://,https://www.instagram.com/peshkov_winery/,https://,41.3885623,21.9770414
Антигона Парк,Скопје,"Скопје, ул.516 бр.6","Skopje, ul.516 br.6", ,"['хотели', 'винарски визби']",077 945252,http://,https://,https://,Not available,Not available
Парагон урбан вајнери,Скопје,"Скопје, Борис Трајковски (Првомајска) 62","Skopje, Boris Trajkovski (Prvomajska) 62", ,"['вина - производство', 'винотеки (винарници)', 'винарски визби']",070 399703,http://,https://,https://,Not available,Not available
Олд Скул Винери,Велес,"Велес, Велешко езеро","Veles, Veleshko ezero", ,"['вина - производство', 'винарски визби']",075 355900,http://,https://,https://www.facebook.com/OldSchoolWinery2020/,41.775496399999994,21.759320409779836
Коцев Фемили Вајн,Велес,"Велес, с.Оморани","Veles, s.Omorani", ,"['винарски визби', 'вина - производство']",072 245483,http://,https://,https://,Not available,Not available
Вински подрум Попови,Кавадарци,"Кавадарци, Сремски Фронт 18","Kavadarci, Sremski Front 18", ,"['винарски визби', 'вина - трговија', 'вина - производство', 'апартмани и приватни соби - изнајмување']",075 423370,http://www.vinoshop.mk/,https://www.instagram.com/winecellar_popovi/,https://www.facebook.com/profile.php?id=100063609999037,41.4351267,22.0181551
Донов,Кавадарци,"Кавадарци, Лазо Асијата 6","Kavadarci, Lazo Asijata 6", ,"['вина - трговија', 'винарски визби']",070 204185,http://,https://,https://mk-mk.facebook.com/donovwinery/,Not available,Not available
Максимилијан,Неготино,"Неготино, с.Пепелиште","Negotino, s.Pepelishte", ,"['вина - производство', 'винарски визби', 'вина - трговија']",071 261335,http://,https://,https://www.facebook.com/profile.php?id=100064194423358,41.5189418,22.1283551
Јостела,Гевгелија,"Гевгелија, Моински пат 154","Gevgelija, Moinski pat 154", ,"['вина - производство', 'вина - трговија', 'винарски визби']",070 305149,http://www.jostela.com/,https://www.instagram.com/jostelavinae/?fbclid=IwAR3aueazL1dqqsjHePdapQQg90DC4YP9Z1e4GnwZ9iChpoYkuwgcqsO8kmQ,https://www.facebook.com/JostelaWinery,41.1675808,22.3850504
Сарика,Прилеп,"Прилеп, Мирче Ацев 128","Prilep, Mirche Acev 128", ,"['вина - производство', 'вина - трговија', 'винарски визби']",071 278316,http://,https://www.instagram.com/sarikawinery/?fbclid=IwAR1CG3nvAfS_1x0Dub2A29kHAzyNjJYZkd2L0ULvSdlKIooFQpZ_VdIKWJU,https://www.facebook.com/sarikawinery/?locale=mk_MK,41.3439196,21.5594285
Вин арт,Скопје,"Скопје, Петар Поп Арсов 13-а/1","Skopje, Petar Pop Arsov 13-a/1",Работно време: Пон - Пет од 08:00 до 18:00 • Саб од 10:00 до 15:00,"['винотеки (винарници)', 'вина - трговија']",02 5511050,http://www.vinart.com.mk/,https://,https://,41.9958004,21.4169826
Воденица,Скопје,"Скопје, М.Т.Гологанов (Иво Лола Рибар) 69","Skopje, M.T.Gologanov (Ivo Lola Ribar) 69",Работно време: Пон - Пет од 09:00 до 00:00 • Саб од 09:00 до 01:00,"['ресторани', 'ресторани - италијански', 'ресторани - специјалитети', 'винотеки (винарници)', 'ресторани за свадби', 'конференциски капацитети и услуги']",02 3232877,http://www.vodenicamulino.com.mk/,https://,https://www.facebook.com/VodenicaMulino/,Not available,Not available
Камник,Скопје,"Скопје, Камник б.б.","Skopje, Kamnik b.b.",Работно време: Пон - Чет од 08:00 до 00:00 • Пет - Саб од 08:00 до 01:00 • Нед од 08:00 до 22:00,"['ресторани', 'винотеки (винарници)']",02 2523522,http://www.chateaukamnik.com/,https://www.instagram.com/chateaukamnikwinery/,https://www.facebook.com/ChateauKamnikWinery/,Not available,Not available
Камник вино,Скопје,"Скопје, Димитија Чуповски (Вељко Влаховиќ) 13","Skopje, Dimitija Chupovski (Veljko Vlahovikj) 13",Работно време: Пон - Саб од 09:00 до 19:00,"['винотеки (винарници)', 'пијалаци - алкохолни - трговија']",02 3117080,http://www.chateaukamnik.com/,https://www.instagram.com/chateaukamnikwinery/,https://www.facebook.com/ChateauKamnikWinery/,Not available,Not available
Вила Мал Свети Климент,Охрид,"Охрид, Методија Патчев 8","Ohrid, Metodija Patchev 8",Работно време: Пон - Нед од 08:00 до 23:00,"['апартмани и приватни соби - изнајмување', 'хотели', 'винотеки (винарници)']",046 250655,http://www.vilamalsvetikliment.com/,https://www.instagram.com/malsvetikliment/,https://www.facebook.com/vila.malsvetikliment,Not available,Not available
Сарафов,Струга,"Струга, 1-ва Македонска ударна бригада 1","Struga, 1-va Makedonska udarna brigada 1",Работно време: Пон - Саб од 09:00 до 21:00,['винотеки (винарници)'],071 366951,http://,https://,https://,Not available,Not available
Библиотека,Скопје,"Скопје, бул.Партизански Одреди 55/5","Skopje, bul.Partizanski Odredi 55/5",Работно време: Пон - Пет од 09:00 до 21:00,"['пијалаци - алкохолни - трговија', 'винотеки (винарници)']",02 3246023,http://www.liquorstore.busness.site/,https://,https://www.facebook.com/BibliotekaLiquorStore,Not available,Not available
Етно Караула,Кочани,"Кочани, Пониква","Kochani, Ponikva",Работно време: Пон - Нед од 08:00 до 01:00,"['мотели', 'винотеки (винарници)']",078 359120,http://,https://,https://,42.0348398,22.3557992
Буре,Битола,"Битола, Широк Сокак (Маршал Тито) 88","Bitola, Shirok Sokak (Marshal Tito) 88",Работно време: Пон - Пет од 08:00 до 00:00 • Саб - Нед од 08:00 до 01:00,"['ресторани - пицерии', 'храна-дистрибуција', 'винотеки (винарници)']",047 225522,http://www.bure.com.mk/,https://,https://www.facebook.com/pages/BURE-pizza-bar/72572769166,41.0253394,21.336715
Панорама,Струмица,"Струмица, с.Мокрино","Strumica, s.Mokrino",Работно време: Пон - Нед од 10:00 до 23:00,"['ресторани', 'ресторани за свадби', 'туризам - алтернативен', 'туристички агенции', 'винотеки (винарници)', 'ресторани - национални']",070 700776,http://www.panoramamokrino.blogspot.com/,https://,https://www.facebook.com/pages/Restoran-Panorama-Mokrino/147703835287399,Not available,Not available
Вила Дојрана,Дојран,"Дојран, Партизанска 41","Dojran, Partizanska 41", ,"['апартмани и приватни соби - изнајмување', 'винотеки (винарници)', 'базени за пливање']",070 999758,http://,https://,https://,41.1811923,22.722269
КМС Малерич,Кавадарци,"Кавадарци, с.Марена","Kavadarci, s.Marena",Работно време: Пон - Саб од 08:00 до 16:00,"['инокс метали - трговија', 'винотеки (винарници)']",043 444888,http://maleric.com.mk/,https://,https://,41.4687873,22.0272806
Виноро-Алкотека,Скопје,"Скопје, бул.Св.Климент Охридски 54","Skopje, bul.Sv.Kliment Ohridski 54",Работно време: Пон - Пет од 10:30 до 19:00,"['пијалаци - алкохолни - трговија', 'винотеки (винарници)']",070 851932,http://,https://,https://www.facebook.com/pages/Vinoro/129580003727230,Not available,Not available
Боттега дел вино,Скопје,"Скопје, бул.Партизански Одреди 64/3-б","Skopje, bul.Partizanski Odredi 64/3-b",Работно време: Пон - Саб од 10:00 до 19:00,"['винотеки (винарници)', 'пијалаци - алкохолни - трговија']",02 6156006,http://www.bottegadelvino.com.mk/,https://,https://www.facebook.com/bottegavino,Not available,Not available
Сковин,Битола,"Битола, Широк Сокак (Маршал Тито) 79-а","Bitola, Shirok Sokak (Marshal Tito) 79-a",Работно време: Пон - Пет од 09:00 до 21:00 • Саб од 09:00 до 14:00,['винотеки (винарници)'],047 282779,http://www.skovin.com.mk/,https://www.instagram.com/skovin_winery/?hl=en,https://www.facebook.com/SkovinVinarija,Not available,Not available
www.wine.mk,Скопје,"Скопје, Камник б.б.","Skopje, Kamnik b.b.",Работно време: Пон - Пет од 09:00 до 19:00 • Саб од 09:00 до 13:00,['винотеки (винарници)'],02 2521786,http://www.wine.mk/,https://,https://,Not available,Not available
Вардарска долина,Неготино,"Неготино, с.Курија","Negotino, s.Kurija", ,['винотеки (винарници)'],070 320867,http://www.vardarskadolina.mk/,https://,https://,41.5280258,22.0119598
Литл бокс,Скопје,"Скопје, Градски парк б.б.","Skopje, Gradski park b.b.", ,['винотеки (винарници)'],070 207607,http://,https://,https://,Not available,Not available
Мовино,Кавадарци,"Кавадарци, Рибарци 1-б","Kavadarci, Ribarci 1-b", ,['винотеки (винарници)'],043 400731,http://www.movino.mk/,https://,https://,Not available,Not available
Ресторан Тиквеш,Кавадарци,"Кавадарци, 29-ти Ноември 5","Kavadarci, 29-ti Noemvri 5",Работно време: Пон - Нед од 10:00 до 18:00,"['ресторани', 'ресторани - национални', 'винотеки (винарници)']",043 447519,http://www.tikves.com.mk/,https://,https://www.facebook.com/TikvesWinery/,Not available,Not available
